DateTime,AddedIPs,RemovedIPs
1578658322,2,0
1578658922,2,0
1578659521,50,33
1578660121,2,0
1578660721,1,0
1578661392,1,0
1578661921,2,0
1578663121,49,50
1578663721,2,0
1578664321,1,0
1578664931,1,0
1578665521,4,0
1578666122,1,0
1578666721,37,38
1578667321,3,0
1578668591,0,3
1578669121,1,0
1578670321,45,46
1578672191,1,2
1578672721,1,0
1578673921,1,0
1578674521,5,0
1578675121,1,0
1578675851,48,36
1578676322,18,0
1578676922,3,0
1578677521,73,42
1578678122,2,0
1578678721,1,0
1578679922,0,1
1578681185,62,70
1578682030,1,0
1578682921,54,50
1578683521,1,0
1578684722,5,0
1578685322,1,0
1578686544,3,0
1578687122,3,0
1578687721,2,0
1578688321,1,0
1578688921,74,47
1578689521,2,0
1578690203,1,4
1578690722,3,0
1578691321,7,0
1578691899,51,56
1578692522,16,0
1578693121,1,0
1578693744,58,50
1578694321,1,0
1578694922,7,0
1578695484,85,108
1578696121,11,0
1578697403,2,3
1578697921,7,0
1578699121,47,74
1578699722,2,1
1578700322,1,0
1578701004,1,61
1578702721,56,64
1578703321,2,0
1578704544,0,1
1578705122,1,0
1578705722,9,0
1578706342,51,59
1578706921,6,0
1578707318,985,394
1578709922,36,44
1578710521,2,0
1578711121,0,1
1578711743,2,2
1578712322,2,0
1578714121,60,64
1578715345,71,83
1578716522,2,0
1578717121,10,0
1578717721,1,0
1578718321,2,0
1578719005,0,1
1578720026,1,0
1578720722,45,55
1578721322,3,0
1578722544,54,40
1578723121,2,0
1578723721,1,0
1578724922,4,0
1578725521,2,0
1578726121,7,0
1578726204,0,1
1578727322,1,0
1578727921,42,34
1578729121,4,1
1578730921,1,0
1578731470,43,37
1578731521,1,0
1578733321,12,0
1578733404,1,1
1578734521,3,0
1578735121,65,42
1578737004,8,0
1578737521,2,0
1578738122,2,0
1578739321,3,0
1578739921,69,50
1578740545,1,1
1578741722,2,0
1578742321,64,50
1578744721,2,1
1578745888,54,41
1578745921,1,1
1578747122,5,0
1578748322,2,0
1578749522,46,47
1578750121,1,0
1578750721,2,0
1578751344,2,0
1578753121,61,48
1578753721,5,0
1578756121,2,0
1578756722,69,54
1578757321,2,0
1578758605,1,0
1578759721,2,0
1578760321,60,57
1578760921,2,0
1578762205,2,0
1578763321,3,0
1578763921,3,0
1578764521,66,51
1578765744,1,0
1578766921,2,0
1578768121,2,0
1578768721,12,0
1578769405,59,57
1578771073,59,52
1578771722,3,0
1578772321,1,0
1578773522,0,1
1578774721,72,53
1578775322,1,0
1578775921,10,0
1578776604,52,66
1578777121,1,0
1578778921,5,0
1578781921,58,63
1578782521,4,0
1578783121,0,1
1578784922,6,0
1578786121,5,0
1578786721,1,0
1578787334,45,76
1578787405,0,1
1578788521,7,0
1578789121,65,70
1578789721,2,1
1578790322,1,0
1578791435,2,0
1578794439,1073,396
1578794604,53,66
1578795121,2,0
1578796321,41,55
1578798205,4,0
1578798721,0,1
1578799321,3,0
1578799921,65,69
1578800521,2,0
1578801745,1,1
1578802921,3,1
1578803470,64,73
1578804121,3,0
1578805321,53,50
1578806521,1,0
1578807121,57,45
1578807722,3,0
1578809005,48,51
1578809521,3,0
1578810121,1,0
1578810722,1,0
1578811321,3,0
1578812605,38,52
1578813721,2,0
1578814281,45,31
1578814921,1,0
1578815521,1,0
1578816121,1,0
1578817321,6,0
1578818521,17,0
1578820321,47,27
1578821503,56,33
1578822122,2,0
1578822721,1,0
1578823405,1,1
1578823921,2,0
1578824521,5,0
1578825121,66,37
1578825721,1,0
1578826321,1,0
1578827005,55,49
1578828122,3,0
1578829322,2,0
1578830606,2,1
1578831721,4,0
1578832321,63,51
1578832922,2,0
1578833521,3,0
1578834205,0,1
1578835321,2,0
1578835921,65,53
1578837805,2,0
1578838321,1,0
1578839522,2,0
1578839530,37,45
1578841921,0,1
1578842521,1,0
1578843121,62,33
1578843722,2,0
1578845006,1,0
1578845522,2,0
1578846721,57,51
1578847321,2,0
1578847921,2,0
1578848521,2,0
1578849121,1,1
1578850321,55,48
1578850922,1,0
1578851521,1,1
1578852122,4,0
1578852721,0,1
1578853321,7,1
1578853921,3,0
1578854521,1,0
1578855805,53,54
1578856921,1,0
1578857521,66,41
1578859921,1,0
1578860522,1,0
1578861121,5,0
1578861722,2,0
1578862322,2,0
1578863007,64,57
1578863521,1,0
1578864121,2,0
1578864701,51,65
1578865322,1,0
1578867721,2,0
1578868321,64,78
1578871322,5,0
1578871922,53,82
1578872521,1,0
1578873121,0,1
1578874322,1,2
1578874921,7,0
1578875522,64,76
1578876121,6,0
1578876721,3,0
1578877405,0,1
1578878521,4,0
1578879069,46,65
1578879722,1,0
1578881568,987,303
1578882121,4,1
1578882679,36,47
1578883321,2,0
1578885721,1,2
1578886321,64,61
1578886921,6,0
1578888205,2,0
1578889921,76,95
1578890521,1,1
1578891805,4,3
1578892322,2,0
1578892922,3,0
1578893474,42,58
1578895922,3,0
1578897093,60,50
1578897721,7,3
1578898321,5,0
1578899005,7,4
1578900687,53,44
1578903121,3,0
1578904274,55,52
1578904322,1,0
1578904921,1,0
1578906146,0,1
1578907321,3,0
1578907922,59,42
1578908521,2,0
1578909122,1,0
1578909806,4,2
1578910922,1,0
1578911521,2,0
1578912122,2,0
1578913406,57,35
1578913921,0,1
1578915121,46,38
1578915722,1,0
1578916921,1,0
1578916946,0,1
1578918121,2,0
1578919321,2,0
1578919922,1,0
1578920606,39,37
1578921721,1,0
1578922321,56,50
1578922921,1,2
1578923521,1,0
1578924206,1,2
1578925921,56,44
1578926521,2,0
1578927122,2,0
1578928321,7,0
1578928921,3,0
1578929582,68,45
1578931321,1,0
1578931921,1,0
1578933121,47,53
1578935006,1,0
1578936721,66,51
1578937321,1,0
1578937922,6,0
1578939121,1,0
1578939721,4,0
1578942146,69,37
1578943321,0,1
1578943921,75,54
1578944521,2,0
1578945121,1,0
1578946322,3,0
1578946921,1,0
1578947470,55,68
1578948121,2,1
1578948722,4,0
1578949346,0,1
1578949921,2,1
1578950522,1,0
1578951721,6,0
1578952946,61,60
1578953521,2,0
1578954122,5,0
1578954721,1,0
1578957122,57,73
1578958288,47,95
1578958321,1,0
1578958921,3,0
1578960146,1,0
1578960721,1,0
1578961321,1,0
1578961865,50,63
1578962521,4,0
1578964321,8,0
1578965471,52,52
1578965521,4,0
1578967406,4,0
1578968685,2104,817
1578969122,30,45
1578969721,3,0
1578971007,5,0
1578972694,62,70
1578973321,5,0
1578973921,8,0
1578974522,1,0
1578974546,0,1
1578975722,3,0
1578976322,60,81
1578978146,58,53
1578979322,1,0
1578979922,0,1
1578981121,1,0
1578981747,54,55
1578982322,1,0
1578982922,3,0
1578984121,100,88
1578985407,48,34
1578985921,6,0
1578986521,5,0
1578987121,7,0
1578987721,1,0
1578988321,1,0
1578988947,58,34
1578989522,1,0
1578991322,2,0
1578992607,0,2
1578993721,1,0
1578994322,53,43
1578994921,3,0
1578995521,4,0
1578997321,1,0
1578998521,60,46
1578999121,2,0
1579000322,1,0
1579000921,1,0
