DateTime,Entries,UniqueIPs
1578590522,2401,2453
1578591722,2406,2458
1578592921,2404,2456
1578594121,2406,2458
1578594722,2430,2482
1578595921,2440,2492
1578596521,2442,2494
1578597722,2425,2476
1578598921,2428,2479
1578600121,2418,2469
1578601321,2379,2429
1578601922,2387,2437
1578603122,2364,2414
1578604322,2349,2397
1578604921,2366,2416
1578605521,2362,2410
1578606121,2378,2426
1578606721,2366,2413
1578607921,2380,2428
1578608522,2388,2436
1578609121,2367,2412
1578609721,2369,2414
1578610922,2379,2424
1578611521,2362,2407
1578612722,2368,2414
1578613921,2368,2414
1578614521,2383,2429
1578615121,2392,2439
1578615722,2394,2442
1578616921,2406,2455
1578617521,2396,2445
1578618721,2383,2432
1578619322,2391,2439
1578619921,2394,2441
1578621121,2396,2444
1578621721,2421,2469
1578622321,2420,2468
1578622921,2428,2477
1578623522,2403,2451
1578624121,2407,2455
1578625321,2415,2464
1578625921,2422,2471
1578626521,2428,2477
1578627722,2428,2477
1578628921,2425,2473
1578629521,2434,2482
1578630121,2429,2478
1578630721,2435,2484
1578631321,2426,2475
1578632522,2428,2478
1578633121,2432,2483
1578633721,2438,2489
1578634921,2443,2494
1578635521,2447,2498
1578636121,2460,2511
1578636721,2466,2516
1578637321,2471,2523
1578637921,2458,2510
1578638521,2452,2504
1578639121,2460,2512
1578639721,2465,2517
1578640921,2472,2525
1578641521,2468,2521
1578643321,2464,2517
1578643921,2458,2511
1578644521,2468,2521
1578645721,2476,2528
1578647522,2461,2512
1578648121,2452,2504
1578648722,2461,2513
1578649321,2475,2528
1578649921,2469,2522
1578650521,2470,2523
1578651722,2476,2526
1578652322,2478,2528
1578653521,2475,2525
1578654121,2485,2535
1578654721,2485,2535
1578655322,2477,2527
1578655922,2486,2536
1578657121,2502,2552
1578658322,2495,2545
1578658922,2501,2551
1578659521,2507,2557
1578660121,2515,2565
1578660721,2522,2573
1578661921,2532,2579
1578663121,2545,2592
1578663721,2558,2605
1578664321,2564,2612
1578665521,2572,2620
1578667321,2563,2611
1578668521,2569,2616
1578669121,2569,2617
1578669721,2580,2628
1578670321,2588,2636
1578670922,2593,2642
1578672121,2593,2643
1578672721,2584,2634
1578673921,2589,2640
1578674521,2593,2644
1578675121,2595,2646
1578675721,2575,2627
1578676322,2589,2641
1578676922,2587,2639
1578678122,2595,2645
1578678721,2603,2654
1578679321,2608,2659
1578679922,2596,2647
1578680521,2593,2643
1578681121,2605,2655
1578682921,2594,2642
1578683521,2603,2651
1578684121,2612,2660
1578684722,2601,2649
1578685322,2605,2653
1578686521,2613,2664
1578687122,2623,2674
1578687721,2627,2679
1578688321,2631,2682
1578689521,2624,2675
1578690121,2637,2689
1578690722,2644,2696
1578691321,2650,2702
1578692521,2656,2710
1578693121,2660,2713
1578693721,2641,2694
1578694321,2649,2702
1578694922,2655,2707
1578696121,2659,2711
1578697321,2648,2702
1578697921,2662,2716
1578698521,2671,2723
1578699121,2683,2735
1578699722,2673,2726
1578700921,2692,2746
1578701521,2687,2741
1578702721,2677,2733
1578703321,2695,2752
1578703922,2694,2750
1578705122,2708,2764
1578705721,2716,2772
1578706921,2709,2765
1578708121,2712,2766
1578708721,2711,2766
1578709321,2703,2758
1578709922,2703,2758
1578710521,2710,2765
1578711121,2701,2756
1578711721,2686,2741
1578712922,2684,2741
1578713522,2685,2742
1578714121,2697,2754
1578715321,2704,2760
1578716522,2719,2776
1578717121,2712,2769
1578717721,2719,2776
1578718321,2711,2768
1578718921,2717,2775
1578719521,2719,2777
1578720121,2712,2771
1578720722,2715,2774
1578721322,2722,2781
1578722521,2703,2762
1578723121,2695,2754
1578723721,2695,2754
1578724321,2698,2757
1578724922,2704,2763
1578725521,2703,2762
1578726121,2716,2775
1578726721,2719,2779
1578727322,2717,2777
1578727921,2721,2781
1578729121,2724,2784
1578729721,2726,2786
1578730321,2718,2777
1578731521,2713,2772
1578732121,2716,2775
1578732721,2719,2778
1578733321,2724,2783
1578734521,2731,2790
1578735121,2746,2806
1578736322,2733,2792
1578736921,2742,2801
1578737521,2754,2813
1578738122,2756,2815
1578739321,2752,2811
1578739921,2757,2817
1578740521,2757,2817
1578741722,2760,2820
1578742321,2766,2827
1578742921,2752,2812
1578743521,2759,2819
1578744721,2756,2815
1578745921,2757,2816
1578746521,2758,2818
1578747122,2768,2828
1578748322,2770,2831
1578748921,2764,2825
1578749522,2767,2828
1578750121,2758,2819
1578750721,2754,2815
1578751921,2752,2813
1578752521,2758,2819
1578753721,2772,2833
1578754921,2761,2822
1578756121,2763,2824
1578756722,2758,2819
1578757321,2747,2808
1578758521,2752,2813
1578759721,2754,2816
1578760321,2757,2819
1578760921,2760,2821
1578762122,2751,2811
1578762721,2756,2816
1578763321,2762,2823
1578763921,2757,2817
1578764521,2764,2824
1578765121,2754,2813
1578765721,2739,2795
1578766921,2735,2791
1578768121,2733,2789
1578768721,2729,2784
1578769321,2737,2792
1578769921,2733,2788
1578770521,2723,2778
1578771722,2726,2781
1578772321,2733,2788
1578773522,2727,2781
1578774122,2733,2787
1578774721,2718,2772
1578775921,2738,2795
1578776521,2733,2788
1578777121,2733,2789
1578777721,2736,2792
1578778921,2717,2772
1578780721,2716,2771
1578781321,2704,2759
1578781921,2712,2767
1578783121,2719,2775
1578783721,2719,2775
1578784922,2705,2764
1578786121,2689,2748
1578786721,2698,2758
1578787321,2700,2760
1578788521,2702,2762
1578789721,2687,2747
1578790922,2666,2726
1578792121,2643,2695
1578793321,2633,2683
1578794521,2649,2699
1578795121,2651,2700
1578795721,2648,2697
1578796321,2671,2721
1578796922,2665,2715
1578798121,2673,2723
1578798721,2676,2726
1578799321,2672,2722
1578800521,2680,2729
1578801721,2666,2714
1578802921,2679,2727
1578804121,2664,2713
1578805321,2653,2703
1578806521,2652,2704
1578807121,2665,2718
1578807722,2662,2715
1578808921,2659,2713
1578809521,2663,2718
1578810121,2662,2717
1578810722,2661,2714
1578811321,2659,2712
1578812521,2647,2699
1578813121,2643,2694
1578813721,2651,2702
1578814921,2651,2700
1578815521,2652,2701
1578816121,2652,2704
1578817321,2646,2697
1578818521,2704,2754
1578820321,2689,2739
1578821521,2677,2727
1578822122,2684,2734
1578823322,2686,2736
1578824521,2671,2723
1578825121,2675,2727
1578825721,2672,2724
1578826321,2674,2726
1578826921,2687,2739
1578828122,2686,2738
1578829322,2683,2735
1578829921,2684,2736
1578830521,2679,2731
1578831121,2673,2724
1578832321,2677,2731
1578832922,2683,2737
1578833521,2682,2735
1578834121,2672,2725
1578835321,2670,2724
1578835921,2656,2710
1578836521,2661,2715
1578837721,2653,2707
1578838321,2664,2719
1578838922,2657,2712
1578839522,2657,2711
1578840121,2649,2702
1578841921,2648,2703
1578842521,2650,2705
1578843722,2651,2706
1578844321,2657,2712
1578845522,2652,2708
1578846121,2671,2727
1578846721,2660,2715
1578847321,2676,2731
1578847921,2668,2722
1578848521,2671,2725
1578849121,2661,2715
1578849722,2652,2706
1578850321,2667,2723
1578850922,2656,2712
1578851521,2668,2723
1578852721,2684,2740
1578853921,2691,2747
1578854521,2693,2750
1578855722,2687,2743
1578856921,2684,2741
1578857521,2694,2751
1578858121,2692,2748
1578859921,2676,2733
1578860522,2694,2751
1578861121,2686,2744
1578862322,2704,2763
1578863521,2703,2761
1578864721,2705,2763
1578865321,2703,2761
1578866521,2722,2781
1578867121,2717,2776
1578867721,2728,2788
1578868321,2722,2782
1578869522,2719,2778
1578870121,2722,2782
1578871322,2717,2775
1578871922,2714,2770
1578873121,2710,2765
1578874322,2715,2769
1578874921,2735,2790
1578875522,2734,2791
1578876121,2749,2807
1578876721,2757,2814
1578877321,2766,2824
1578878521,2779,2839
1578879722,2790,2849
1578880322,2777,2836
1578881521,2788,2848
1578882121,2798,2858
1578883321,2794,2855
1578884521,2777,2841
1578885721,2764,2828
1578886321,2775,2839
1578886921,2772,2834
1578888121,2772,2834
1578889321,2774,2836
1578889921,2781,2844
1578890521,2783,2846
1578891121,2779,2842
1578892321,2794,2858
1578892922,2796,2860
1578894121,2788,2851
1578895321,2793,2857
1578895922,2805,2869
1578896521,2793,2858
1578897121,2802,2867
1578898321,2809,2871
1578898921,2820,2885
1578900121,2812,2877
1578900721,2815,2880
1578901322,2822,2887
1578903121,2821,2885
